instr,bits,footprint,weight,enc_score
CUSTOM0,15.0,0.6,0.0009765625,0.9990234375
CUSTOM1,15.0,0.6,0.0009765625,0.9990234375
CUSTOM3,20.0,0.8,0.03125,0.96875
CUSTOM4,15.0,0.6,0.0009765625,0.9990234375
CUSTOM5,15.0,0.6,0.0009765625,0.9990234375
CUSTOM7,15.0,0.6,0.0009765625,0.9990234375
CUSTOM8,20.0,0.8,0.03125,0.96875
CUSTOM13,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM14,10.0,0.4,3.0517578125e-05,0.999969482421875
CUSTOM17,15.0,0.6,0.0009765625,0.9990234375
CUSTOM18,15.0,0.6,0.0009765625,0.9990234375
