,config,idx,II,Fallback,Instruction latencies,Allocation,Overall latency,Area estimate w/o lifetimes,Area estimate w/ lifetimes,Total lifetime,Total decoupled ops
0,SG_1_SOL_IDX_0,0,1,False,{'CUSTOM3': 3},{},2,1.0,1.0,0.0,0
1,SG_1_SOL_IDX_1,1,1,False,{'CUSTOM3': 4},{},2,1.0,1.0,0.0,0
2,SG_1_SOL_IDX_2,2,2,False,{'CUSTOM3': 4},{},2,1.0,1.0,0.0,0
3,SG_1_SOL_IDX_3,3,1,False,{'CUSTOM3': 5},{},2,1.0,1.0,0.0,0
4,SG_1_SOL_IDX_4,4,3,False,{'CUSTOM3': 5},{},2,1.0,1.0,0.0,0
5,SG_1_SOL_IDX_5,5,2,False,{'CUSTOM3': 6},{},2,1.0,1.0,0.0,0
6,SG_1_SOL_IDX_6,6,4,False,{'CUSTOM3': 6},{},2,1.0,1.0,0.0,0
7,SG_2_SOL_IDX_0,0,1,False,{'CUSTOM5': 3},{},2,1.0,1.0,0.0,0
8,SG_2_SOL_IDX_1,1,1,False,{'CUSTOM5': 4},{},2,1.0,1.0,0.0,0
9,SG_2_SOL_IDX_2,2,2,False,{'CUSTOM5': 4},{},2,1.0,1.0,0.0,0
10,SG_2_SOL_IDX_3,3,1,False,{'CUSTOM5': 5},{},2,1.0,1.0,0.0,0
11,SG_2_SOL_IDX_4,4,3,False,{'CUSTOM5': 5},{},2,1.0,1.0,0.0,0
12,SG_3_SOL_IDX_0,0,1,False,{'CUSTOM18': 3},{},2,1.0,1.0,0.0,0
13,SG_3_SOL_IDX_1,1,1,False,{'CUSTOM18': 4},{},2,1.0,1.0,0.0,0
14,SG_3_SOL_IDX_2,2,2,False,{'CUSTOM18': 4},{},2,1.0,1.0,0.0,0
